identifier,close_time,merged,edited,repo,repo_age,repo_commits,experience,open_tasks,pull_lines,pull_desc_len
flutter/flutter#64199,81014,1,1,flutter/flutter,2128,20122,2,166,124,532
ytdl-org/youtube-dl#31953,694650,0,0,ytdl-org/youtube-dl,5363,18698,0,906,201,10
flutter/flutter#28688,616562,1,1,flutter/flutter,1590,13348,47,103,57,64
twbs/bootstrap#37311,1515884,0,1,twbs/bootstrap,4187,21950,23,120,7,297
golang/go#34030,687422,0,1,golang/go,17213,41088,0,123,92,280
nodejs/node#30022,187876,0,0,nodejs/node,3897,28382,342,285,73,17
flutter/flutter#37652,858822,1,1,flutter/flutter,1748,15148,1,127,18,502
flutter/flutter#121999,262303,0,1,flutter/flutter,3056,33649,1,183,276,366
electron/electron#19427,1155637,1,1,electron/electron,2324,22192,1,82,11,240
electron/electron#19427,1155637,1,1,electron/electron,2324,22192,1,82,11,240
electron/electron#37514,9358,1,0,electron/electron,3646,27141,1335,88,3,145
flutter/flutter#30983,1630232,1,1,flutter/flutter,1633,13788,76,100,4048,0
tensorflow/tensorflow#37936,4962103,1,0,tensorflow/tensorflow,1602,82300,7,226,6,0
microsoft/vscode#66618,2471305,1,1,microsoft/vscode,1161,44776,0,184,9,0
nodejs/node#33189,2596622,0,1,nodejs/node,4093,30396,12,304,122,135
nodejs/node#16270,171699,0,1,nodejs/node,3166,19322,97,222,0,220
nodejs/node#10859,467833,0,1,nodejs/node,2893,16093,8,334,8,121
facebook/react-native#13957,9521577,0,0,facebook/react-native,835,10672,0,244,70,155
tensorflow/tensorflow#56869,11218427,1,1,tensorflow/tensorflow,2450,132548,11,242,8,20
tensorflow/tensorflow#56869,11218427,1,1,tensorflow/tensorflow,2450,132548,11,242,8,20
tensorflow/tensorflow#34052,41892,1,1,tensorflow/tensorflow,1461,71888,50,233,51,0
tensorflow/tensorflow#34052,41892,1,1,tensorflow/tensorflow,1461,71888,50,233,51,0
tensorflow/tensorflow#34248,4308493,0,0,tensorflow/tensorflow,1468,72414,2,237,12,17
flutter/flutter#32437,934459,1,1,flutter/flutter,1660,14122,356,94,8,0
flutter/flutter#115186,4562510,0,0,flutter/flutter,2942,32018,0,171,12,65
flutter/flutter#93408,13163766,1,1,flutter/flutter,2575,26530,1,185,10,153
